Common_Name,Genus_Species,Superorder,Order,Body_Mass_g,Log_Body_Mass,Longevity_y,Log_Longevity,Longevity_Quotient,Total_TSGs,Total_TSGs_Normalized,Total_Oncogenes,Total_Oncogenes_Normalized,GS_TSG_Numbers,GS_TSG_normalized,Somatic_normalized,Germline_normalized,Oncogene_copies,Oncogene_normalized
Large Flying Fox,Pteropus_vampyrus,Laurasiatheria,Chiroptera,944.685,2.97528702,20.9,1.320146286,1.495428294,380,1.63090129,457,2.022123894,59,1.404761905,1.76875,1.225806452,226,2.022123894
Little Brown Bat,Myotis_lucifugus,Laurasiatheria,Chiroptera,7.15,0.854306042,34,1.531478917,2.992319323,409,1.7860262,567,2.56561086,75,1.829268293,1.864516129,1.363636364,221,2.56561086
Manatee,Trichechus_manatus,Afrotheria,Sirenia,387500,5.588271707,56,1.748188027,1.054082723,383,1.65086207,476,2.10619469,56,1.333333333,1.838509317,1.068965517,226,2.10619469
Masai Giraffe,Giraffa_camelopardalis,Laurasiatheria,Artiodactyla,800000,5.903089987,39.5,1.596597096,0.915448566,468,2.01724138,493,2.171806167,56,1.333333333,2.383647799,1.064516129,227,2.171806167
Mediterranean Monk Seal,Monachus_monachus,Laurasiatheria,Carnivora,284940.665,5.454754434,23.7,1.374748346,0.847458042,436,1.85531915,499,2.207964602,56,1.302325581,2.1,1.375,226,2.207964602
Minke Whale,Balaenoptera_acutorostrata,Laurasiatheria,Cetacea,7.50E+06,6.875061263,50,1.698970004,0.845998789,451,1.91101695,507,2.233480176,59,1.372093023,2.192546584,1.21875,227,2.233480176
Mouse,Mus_musculus,Euarchontoglires,Rodentia,20.5,1.311753861,6,0.77815125,1.568427387,442,1.94713656,728,3.294117647,74,1.720930233,2.121019108,1.296296296,221,3.294117647
Naked Mole Rat,Heterocephalus_glaber,Euarchontoglires,Rodentia,35,1.544068044,28.3,1.451786436,2.595823953,556,2.38626609,756,3.405405405,87,2.023255814,2.5125,2.233333333,222,3.405405405
Narwhal,Monodon_monoceros,Laurasiatheria,Cetacea,938126.44,5.972261376,50,1.698970004,0.963757409,430,1.85344828,522,2.299559471,58,1.380952381,2.108974359,1.264705882,227,2.299559471
Nine-Banded Armadillo,Dasypus_novemcinctus,Xenarthra,Cingulata,3949.01,3.596488233,22.33333333,1.348953548,1.207521935,520,2.20338983,713,3.226244344,59,1.372093023,2.608695652,1.28125,221,3.230769231
Okapi,Okapia_johnstoni,Laurasiatheria,Artiodactyla,230001.14,5.361729989,33.5,1.525044807,0.954992433,454,1.98253275,502,2.241071429,55,1.30952381,2.363636364,1.060606061,224,2.241071429
Orca Whale,Orcinus_orca,Laurasiatheria,Cetacea,4.30E+06,6.633468456,100,2,1.029560363,454,1.94017094,513,2.240174672,58,1.414634146,2.21875,1.242424242,229,2.240174672
Pacific White Sided Dolphin,Lagenorhynchus_obliquidens,Laurasiatheria,Cetacea,103000,5.012837225,46,1.662757832,1.106963474,442,1.89699571,522,2.279475983,61,1.452380952,2.165605096,1.205882353,229,2.279475983
Pig,Sus_scrofa,Laurasiatheria,Artiodactyla,135000,5.130333768,27,1.431363764,0.933077379,393,1.67948718,486,2.150442478,57,1.357142857,1.875,1.125,226,2.150442478
Polar Bear,Ursus_maritimus,Laurasiatheria,Carnivora,371703.81,5.570197013,45,1.653212514,0.999778037,389,1.66239316,477,2.148648649,56,1.302325581,1.874213836,1.09375,222,2.148648649
Przewalskis Horse,Equus_przewalskii,Laurasiatheria,Perissodactyla,360000,5.556302501,36,1.556302501,0.943326253,358,1.53648069,425,1.940639269,55,1.279069767,1.713375796,1.03030303,219,1.940639269
Rat,Rattus_norvegicus,Euarchontoglires,Rodentia,280,2.447158031,5,0.698970004,0.868568892,440,1.93832599,744,3.366515837,63,1.465116279,2.121794872,1.642857143,221,3.366515837
Rhesus,Macaca_mulatta,Euarchontoglires,Primates,6614,3.820464191,40,1.602059991,1.359980513,527,2.18672199,717,3.064102564,62,1.441860465,2.490797546,1.685714286,234,3.064102564
Rock Hyrax,Procavia_capensis,Afrotheria,Hyracoidea,2750,3.439332694,14.80833333,1.170506182,1.08944025,265,1.33838384,341,1.713567839,38,1.085714286,1.435714286,1.130434783,199,1.713567839
Sperm Whale,Physeter_catodon,Laurasiatheria,Cetacea,1.01E+07,7.004321374,100,2,0.978773079,441,1.87659575,489,2.144736842,57,1.357142857,2.150943396,1.235294118,228,2.144736842
Tiger,Panthera_tigris,Laurasiatheria,Carnivora,128800,5.109915863,26.3,1.419955748,0.929001538,403,1.73706897,434,2.018604651,55,1.30952381,1.968152866,1.181818182,215,2.018604651
Two-Fingered Sloth,Choloepus_hoffmanni,Xenarthra,Pilosa,4250,3.62838893,37,1.568201724,1.392971346,305,2.32824428,394,2.875912409,37,1.681818182,2.694117647,1.625,138,2.862318841
Walrus,Odobenus_rosmarus,Laurasiatheria,Carnivora,846498.125,5.927626,40,1.602059991,0.915081788,457,1.94468085,557,2.46460177,55,1.279069767,2.213836478,1.515151515,226,2.46460177
Water Buffalo,Bubalus_bubalis,Laurasiatheria,Artiodactyla,827250.485,5.91763703,34.9,1.542825427,0.882616302,444,1.92207792,538,2.370044053,55,1.341463415,2.232704403,1.096774194,227,2.370044053
Weddell Seal,Leptonychotes_weddellii,Laurasiatheria,Carnivora,410833.335,5.613665675,25,1.397940009,0.839404808,435,1.85897436,524,2.318584071,60,1.395348837,2.094339623,1.3125,226,2.318584071
White Rhino,Ceratotherium_simum,Laurasiatheria,Perissodactyla,2.23E+06,6.348304863,50,1.698970004,0.910942043,371,1.55882353,449,1.977973568,60,1.395348837,1.708074534,1.058823529,227,1.977973568
Wild Bactrian Camel,Camelus_ferus,Laurasiatheria,Artiodactyla,434000,5.63748973,28.4,1.45331834,0.869277272,377,1.63913044,453,2.004424779,55,1.30952381,1.852564103,1.03125,226,2.008849558
Wild Yak,Bos_mutus,Laurasiatheria,Artiodactyla,1.00E+06,6,22,1.342422681,0.758259535,433,1.85042735,487,2.164444444,51,1.214285714,2.182389937,1.060606061,225,2.164444444
Yangtze River Dolphin,Lipotes_vexillifer,Laurasiatheria,Cetacea,83500,4.921686475,24,1.380211242,1.106963474,446,1.89787234,522,2.32,54,1.285714286,2.1875,1.272727273,225,2.32
Zebu Cattle,Bos_indicus,Laurasiatheria,Artiodactyla,618642.42,5.791439696,20,1.301029996,0.759187659,414,1.84821429,486,2.209090909,53,1.325,2.123376623,1.133333333,220,2.209090909
